"stop_id","pid","resultkey","result","code","resulttext"
"61","1","2","Warning (verbal or written)","54657","4000(A)(1) VC - NO REG:VEH/TRAILER/ETC (I) 54657"
"62","1","2","Warning (verbal or written)","66881","38170(C) VC - LICENSE PLATE NONCOMPLNT (I) 66881"
"63","1","5","Custodial Arrest pursuant to outstanding warrant","",""
"63","1","6","Custodial Arrest without warrant","38025","273.5 PC - INFLICT CRPL INJ SP/COHAB (F) 38025"
"64","1","3","Citation for infraction","54319","22100(B) VC - LEFT TURN INTERSECTN VIOL (I) 54319"
"65","1","6","Custodial Arrest without warrant","64005","647(F) PC - DISORD CONDUCT:ALCOHOL (M) 64005"
"66","1","2","Warning (verbal or written)","54657","4000(A)(1) VC - NO REG:VEH/TRAILER/ETC (I) 54657"
"67","1","7","Field interview card completed","",""
"68","1","8","Noncriminal transport or caretaking transport","",""
"69","1","3","Citation for infraction","54099","4000(A) VC - NO REG:VEH/TRAILER/ETC (I) 54099"
"70","1","7","Field interview card completed","",""
"71","1","10","Psychiatric hold","",""
"72","1","2","Warning (verbal or written)","54571","26708(A)(1) VC - OPR VEH:WINDOW OBSTRUCTED (I) 54571"
"73","1","2","Warning (verbal or written)","66967","24252(A)(1) VC - FAIL MAINT VEH LITE EQUIP (I) 66967"
"74","1","2","Warning (verbal or written)","54167","22450(A) VC - FAIL STOP VEH:XWALK/ETC (I) 54167"
"75","1","7","Field interview card completed","",""
"75","2","7","Field interview card completed","",""
"76","1","2","Warning (verbal or written)","66150","640.6(A)(1) PC - GRAFITI:PROP DAMAGE -$250 (I) 66150"
"76","2","2","Warning (verbal or written)","66150","640.6(A)(1) PC - GRAFITI:PROP DAMAGE -$250 (I) 66150"
"77","1","2","Warning (verbal or written)","54544","24407(A) VC - HIGHBEAM PROJECT 350 FEET (I) 54544"
"78","1","2","Warning (verbal or written)","54098","21453(A) VC - FAIL STOP LINE/ETC AT RED (I) 54098"
"79","1","2","Warning (verbal or written)","66275","21800(C) VC - FL YLD RIGHT OF WAY RIGHT (I) 66275"
"80","1","6","Custodial Arrest without warrant","24054","10851(A) VC - VEHICLE THEFT (F) 24054"
"80","1","6","Custodial Arrest without warrant","35451","11359(B) HS - POSS MARIJUANA FOR SALE (M) 35451"
"80","1","6","Custodial Arrest without warrant","35152","11350(A) HS - POSSESS NARCOTIC CNTL SUB (F) 35152"
"81","1","2","Warning (verbal or written)","66881","38170(C) VC - LICENSE PLATE NONCOMPLNT (I) 66881"
"82","1","2","Warning (verbal or written)","54644","5200(A) VC - DISPLAY LIC PLATES WRONG (I) 54644"
"83","1","6","Custodial Arrest without warrant","35143","11550 HS - UNDER INFLUENCE CNTL SUB (M) 35143"
"83","1","6","Custodial Arrest without warrant","48122","148(A)(1) PC - OBSTRUCT/ETC PUB OFCR/ETC (M) 48122"
"83","1","6","Custodial Arrest without warrant","50176","3455 PC - PRCS VIOLATION (X) 50176"
"84","1","6","Custodial Arrest without warrant","50136","18 3401(D) US - VIOLATE PROBATION:MISD (X) 50136"
"85","1","3","Citation for infraction","54655","23123.5(A) VC - NO HND HLD DEVICE W/DRIVE (I) 54655"
"86","1","3","Citation for infraction","54655","23123.5(A) VC - NO HND HLD DEVICE W/DRIVE (I) 54655"
"87","1","10","Psychiatric hold","",""
"88","1","2","Warning (verbal or written)","54146","21461(A) VC - DRIVER FAIL OBEY SIGN/ETC (I) 54146"
"89","1","7","Field interview card completed","",""
"89","2","7","Field interview card completed","",""
"90","1","3","Citation for infraction","66449","24951(C) VC - TURN SIGNAL VIOLATION (I) 66449"
"91","1","3","Citation for infraction","65002","65002 ZZ - LOCAL ORDINANCE VIOL (I) 65002"
"92","1","4","In-field cite and release","54107","12500(A) VC - DRIVE W/O LICENSE (M) 54107"
"93","1","2","Warning (verbal or written)","54098","21453(A) VC - FAIL STOP LINE/ETC AT RED (I) 54098"
"94","1","3","Citation for infraction","54303","22349(A) VC - EXCEED SPEED ON HIGHWAY (I) 54303"
"95","1","2","Warning (verbal or written)","32100","602(M) PC - TRESPASS:OCC PROP W/O CON (M) 32100"
"95","1","3","Citation for infraction","32100","602(M) PC - TRESPASS:OCC PROP W/O CON (M) 32100"
"96","1","2","Warning (verbal or written)","54657","4000(A)(1) VC - NO REG:VEH/TRAILER/ETC (I) 54657"
"97","1","3","Citation for infraction","54303","22349(A) VC - EXCEED SPEED ON HIGHWAY (I) 54303"
"98","1","2","Warning (verbal or written)","54098","21453(A) VC - FAIL STOP LINE/ETC AT RED (I) 54098"
"98","2","2","Warning (verbal or written)","54098","21453(A) VC - FAIL STOP LINE/ETC AT RED (I) 54098"
"98","3","2","Warning (verbal or written)","54098","21453(A) VC - FAIL STOP LINE/ETC AT RED (I) 54098"
"98","4","2","Warning (verbal or written)","54098","21453(A) VC - FAIL STOP LINE/ETC AT RED (I) 54098"
"99","1","3","Citation for infraction","54075","21651(B) VC - DRIVE WRONG WAY:DIV HWY (M) 54075"
"100","1","6","Custodial Arrest without warrant","38025","273.5 PC - INFLICT CRPL INJ SP/COHAB (F) 38025"
"101","1","2","Warning (verbal or written)","54167","22450(A) VC - FAIL STOP VEH:XWALK/ETC (I) 54167"
"102","1","2","Warning (verbal or written)","54099","4000(A) VC - NO REG:VEH/TRAILER/ETC (I) 54099"
"103","1","1","None","",""
"104","1","2","Warning (verbal or written)","54522","21456.2(A) VC - BICYCLE OPR OBEY VEH LAWS (I) 54522"
"105","1","6","Custodial Arrest without warrant","24067","10851(A) VC - TAKE VEH W/O OWNER CONSNT (M) 24067"
"106","1","3","Citation for infraction","54303","22349(A) VC - EXCEED SPEED ON HIGHWAY (I) 54303"
"107","1","2","Warning (verbal or written)","54099","4000(A) VC - NO REG:VEH/TRAILER/ETC (I) 54099"
"108","1","6","Custodial Arrest without warrant","50112","166(C)(1) PC - CONTEMPT:VIOL PROTECT ORD (M) 50112"
"109","1","8","Noncriminal transport or caretaking transport","",""
"109","1","10","Psychiatric hold","",""
"110","1","6","Custodial Arrest without warrant","50106","166(A)(4) PC - CONTEMPT:DISOBEY CRT ORDR (M) 50106"
"111","1","2","Warning (verbal or written)","66880","38170(B) VC - LICENSE PLATE NOT VISIBLE (I) 66880"
"112","1","5","Custodial Arrest pursuant to outstanding warrant","",""
"113","1","2","Warning (verbal or written)","54303","22349(A) VC - EXCEED SPEED ON HIGHWAY (I) 54303"
"114","1","3","Citation for infraction","54303","22349(A) VC - EXCEED SPEED ON HIGHWAY (I) 54303"
"115","1","10","Psychiatric hold","",""
"116","1","3","Citation for infraction","54566","23123(A) VC - USE CELLPH W/DRIV W/O HFD (I) 54566"
"117","1","3","Citation for infraction","54566","23123(A) VC - USE CELLPH W/DRIV W/O HFD (I) 54566"
"118","1","2","Warning (verbal or written)","54303","22349(A) VC - EXCEED SPEED ON HIGHWAY (I) 54303"
"119","1","3","Citation for infraction","54655","23123.5(A) VC - NO HND HLD DEVICE W/DRIVE (I) 54655"
"120","1","3","Citation for infraction","54099","4000(A) VC - NO REG:VEH/TRAILER/ETC (I) 54099"
"121","1","5","Custodial Arrest pursuant to outstanding warrant","",""
"122","1","2","Warning (verbal or written)","54303","22349(A) VC - EXCEED SPEED ON HIGHWAY (I) 54303"
"122","1","3","Citation for infraction","42127","12500(A) VC - DRIVE W/O LICENSE (I) 42127"
"123","1","7","Field interview card completed","",""
"124","1","3","Citation for infraction","54644","5200(A) VC - DISPLAY LIC PLATES WRONG (I) 54644"
"125","1","3","Citation for infraction","54614","26708(A)(2) VC - OPR VEH:WINDOW OBSTRUCTED (I) 54614"
"126","1","1","None","",""
"127","1","3","Citation for infraction","54106","22350 VC - UNSAFE SPEED:PREVAIL COND (I) 54106"
"128","1","3","Citation for infraction","54106","22350 VC - UNSAFE SPEED:PREVAIL COND (I) 54106"
"129","1","3","Citation for infraction","54106","22350 VC - UNSAFE SPEED:PREVAIL COND (I) 54106"
"130","1","3","Citation for infraction","54657","4000(A)(1) VC - NO REG:VEH/TRAILER/ETC (I) 54657"
"131","1","3","Citation for infraction","66943","21651(A)(1) VC - DRV HWY ACROSS DIV SECTN (I) 66943"
"132","1","2","Warning (verbal or written)","54106","22350 VC - UNSAFE SPEED:PREVAIL COND (I) 54106"
"133","1","3","Citation for infraction","54655","23123.5(A) VC - NO HND HLD DEVICE W/DRIVE (I) 54655"
"134","1","3","Citation for infraction","54655","23123.5(A) VC - NO HND HLD DEVICE W/DRIVE (I) 54655"
"135","1","3","Citation for infraction","54655","23123.5(A) VC - NO HND HLD DEVICE W/DRIVE (I) 54655"
"136","1","3","Citation for infraction","54566","23123(A) VC - USE CELLPH W/DRIV W/O HFD (I) 54566"
"137","1","3","Citation for infraction","54655","23123.5(A) VC - NO HND HLD DEVICE W/DRIVE (I) 54655"
"138","1","3","Citation for infraction","54566","23123(A) VC - USE CELLPH W/DRIV W/O HFD (I) 54566"
"139","1","3","Citation for infraction","54303","22349(A) VC - EXCEED SPEED ON HIGHWAY (I) 54303"
"140","1","2","Warning (verbal or written)","54655","23123.5(A) VC - NO HND HLD DEVICE W/DRIVE (I) 54655"
"141","1","3","Citation for infraction","54655","23123.5(A) VC - NO HND HLD DEVICE W/DRIVE (I) 54655"
"142","1","3","Citation for infraction","54655","23123.5(A) VC - NO HND HLD DEVICE W/DRIVE (I) 54655"
"143","1","4","In-field cite and release","35423","11364(A) HS - POSS UNLAW PARAPHERNALIA (M) 35423"
"144","1","2","Warning (verbal or written)","54303","22349(A) VC - EXCEED SPEED ON HIGHWAY (I) 54303"
"145","1","3","Citation for infraction","54303","22349(A) VC - EXCEED SPEED ON HIGHWAY (I) 54303"
"146","1","3","Citation for infraction","54655","23123.5(A) VC - NO HND HLD DEVICE W/DRIVE (I) 54655"
"147","1","3","Citation for infraction","42127","12500(A) VC - DRIVE W/O LICENSE (I) 42127"
"147","1","3","Citation for infraction","54099","4000(A) VC - NO REG:VEH/TRAILER/ETC (I) 54099"
"148","1","3","Citation for infraction","54655","23123.5(A) VC - NO HND HLD DEVICE W/DRIVE (I) 54655"
"149","1","5","Custodial Arrest pursuant to outstanding warrant","",""
"150","1","7","Field interview card completed","",""
"150","1","8","Noncriminal transport or caretaking transport","",""
"151","1","3","Citation for infraction","54655","23123.5(A) VC - NO HND HLD DEVICE W/DRIVE (I) 54655"
"152","1","3","Citation for infraction","54655","23123.5(A) VC - NO HND HLD DEVICE W/DRIVE (I) 54655"
"153","1","2","Warning (verbal or written)","54655","23123.5(A) VC - NO HND HLD DEVICE W/DRIVE (I) 54655"
"154","1","3","Citation for infraction","54655","23123.5(A) VC - NO HND HLD DEVICE W/DRIVE (I) 54655"
"155","1","7","Field interview card completed","",""
"155","2","5","Custodial Arrest pursuant to outstanding warrant","",""
"156","1","7","Field interview card completed","",""
"156","2","7","Field interview card completed","",""
"157","1","2","Warning (verbal or written)","66967","24252(A)(1) VC - FAIL MAINT VEH LITE EQUIP (I) 66967"
"158","1","6","Custodial Arrest without warrant","64005","647(F) PC - DISORD CONDUCT:ALCOHOL (M) 64005"
"159","1","2","Warning (verbal or written)","35438","11362.4(A) HS - SMOKE/ING MARIJ PUBLIC PL (I) 35438"
"159","2","2","Warning (verbal or written)","35438","11362.4(A) HS - SMOKE/ING MARIJ PUBLIC PL (I) 35438"
"159","3","2","Warning (verbal or written)","35438","11362.4(A) HS - SMOKE/ING MARIJ PUBLIC PL (I) 35438"
"160","1","10","Psychiatric hold","",""
"161","1","3","Citation for infraction","54106","22350 VC - UNSAFE SPEED:PREVAIL COND (I) 54106"
"162","1","2","Warning (verbal or written)","54106","22350 VC - UNSAFE SPEED:PREVAIL COND (I) 54106"
"163","1","4","In-field cite and release","44067","530.5(C)(1) PC - POSS PRSNL ID WIT DEFRAUD (M) 44067"
"164","1","2","Warning (verbal or written)","99990","NA - XX AA - COMMUNITY CARETAKING (X) 99990"
"164","2","2","Warning (verbal or written)","99990","NA - XX AA - COMMUNITY CARETAKING (X) 99990"
"165","1","2","Warning (verbal or written)","54657","4000(A)(1) VC - NO REG:VEH/TRAILER/ETC (I) 54657"
"166","1","2","Warning (verbal or written)","54098","21453(A) VC - FAIL STOP LINE/ETC AT RED (I) 54098"
"167","1","2","Warning (verbal or written)","54614","26708(A)(2) VC - OPR VEH:WINDOW OBSTRUCTED (I) 54614"
"167","1","7","Field interview card completed","",""
"168","1","2","Warning (verbal or written)","54106","22350 VC - UNSAFE SPEED:PREVAIL COND (I) 54106"
"169","1","3","Citation for infraction","54090","23222(A) VC - POSS OPEN CONTAINER:DRIVE (I) 54090"
"169","1","7","Field interview card completed","",""
"170","1","2","Warning (verbal or written)","54167","22450(A) VC - FAIL STOP VEH:XWALK/ETC (I) 54167"
"171","1","2","Warning (verbal or written)","54571","26708(A)(1) VC - OPR VEH:WINDOW OBSTRUCTED (I) 54571"
"172","1","7","Field interview card completed","",""
"173","1","6","Custodial Arrest without warrant","42104","23152(A) VC - DUI ALCOHOL (M) 42104"
"174","1","2","Warning (verbal or written)","66205","640(B)(3) PC - SMOKING PROHIBITED AREA (I) 66205"
"175","1","3","Citation for infraction","54146","21461(A) VC - DRIVER FAIL OBEY SIGN/ETC (I) 54146"
"176","1","2","Warning (verbal or written)","54566","23123(A) VC - USE CELLPH W/DRIV W/O HFD (I) 54566"
"177","1","10","Psychiatric hold","",""
"178","1","2","Warning (verbal or written)","54178","21658(A) VC - UNSAFE LANE CHANGE/ETC (I) 54178"
"179","1","3","Citation for infraction","54146","21461(A) VC - DRIVER FAIL OBEY SIGN/ETC (I) 54146"
"180","1","10","Psychiatric hold","",""
"181","1","2","Warning (verbal or written)","66412","24400(B) VC - HEADLAMP VIOL DARK/WEATHR (I) 66412"
"182","1","2","Warning (verbal or written)","32102","602(O) PC - TRESPAS:REFUSE LEAVE PROP (M) 32102"
"183","1","2","Warning (verbal or written)","32102","602(O) PC - TRESPAS:REFUSE LEAVE PROP (M) 32102"
"184","1","1","None","",""
"185","1","2","Warning (verbal or written)","53130","415(2) PC - LOUD/UNREASONABLE NOISE (I) 53130"
"185","2","2","Warning (verbal or written)","33029","415.5(A)(2) PC - LOUD/UNREAS NOISE UNV/ETC (M) 33029"
"186","1","3","Citation for infraction","54167","22450(A) VC - FAIL STOP VEH:XWALK/ETC (I) 54167"
"186","2","3","Citation for infraction","54167","22450(A) VC - FAIL STOP VEH:XWALK/ETC (I) 54167"
"186","3","3","Citation for infraction","54167","22450(A) VC - FAIL STOP VEH:XWALK/ETC (I) 54167"
"186","4","3","Citation for infraction","54167","22450(A) VC - FAIL STOP VEH:XWALK/ETC (I) 54167"
"186","5","3","Citation for infraction","54167","22450(A) VC - FAIL STOP VEH:XWALK/ETC (I) 54167"
"186","6","3","Citation for infraction","54167","22450(A) VC - FAIL STOP VEH:XWALK/ETC (I) 54167"
"186","7","3","Citation for infraction","54167","22450(A) VC - FAIL STOP VEH:XWALK/ETC (I) 54167"
"187","1","1","None","",""
"188","1","10","Psychiatric hold","",""
"189","1","2","Warning (verbal or written)","54657","4000(A)(1) VC - NO REG:VEH/TRAILER/ETC (I) 54657"
"190","1","2","Warning (verbal or written)","54133","21451(A) VC - GREEN LT:UTURN/YIELD VIOL (I) 54133"
"191","1","5","Custodial Arrest pursuant to outstanding warrant","",""
"192","1","2","Warning (verbal or written)","54098","21453(A) VC - FAIL STOP LINE/ETC AT RED (I) 54098"
"192","1","7","Field interview card completed","",""
"193","1","6","Custodial Arrest without warrant","53130","415(2) PC - LOUD/UNREASONABLE NOISE (I) 53130"
"194","1","7","Field interview card completed","",""
"195","1","2","Warning (verbal or written)","54644","5200(A) VC - DISPLAY LIC PLATES WRONG (I) 54644"
"196","1","2","Warning (verbal or written)","54098","21453(A) VC - FAIL STOP LINE/ETC AT RED (I) 54098"
"196","1","7","Field interview card completed","",""
"197","1","3","Citation for infraction","54655","23123.5(A) VC - NO HND HLD DEVICE W/DRIVE (I) 54655"
"198","1","2","Warning (verbal or written)","66412","24400(B) VC - HEADLAMP VIOL DARK/WEATHR (I) 66412"
"199","1","7","Field interview card completed","",""
"200","1","2","Warning (verbal or written)","32118","601(A)(1) PC - TRESPASS RESDNC THRTN SBI (M) 32118"
"201","1","2","Warning (verbal or written)","32023","602(A) PC - TRESP:DESTROY STAND TIMBR (M) 32023"
"202","1","2","Warning (verbal or written)","54571","26708(A)(1) VC - OPR VEH:WINDOW OBSTRUCTED (I) 54571"
"203","1","1","None","",""
"204","1","10","Psychiatric hold","",""
"205","1","7","Field interview card completed","",""
"206","1","2","Warning (verbal or written)","54986","21460(C) VC - CROSS BRKN/SOLID WHI LINE (I) 54986"
"206","1","7","Field interview card completed","",""
"206","2","7","Field interview card completed","",""
"207","1","3","Citation for infraction","54655","23123.5(A) VC - NO HND HLD DEVICE W/DRIVE (I) 54655"
"208","1","2","Warning (verbal or written)","54571","26708(A)(1) VC - OPR VEH:WINDOW OBSTRUCTED (I) 54571"
"209","1","10","Psychiatric hold","",""
"210","1","2","Warning (verbal or written)","54099","4000(A) VC - NO REG:VEH/TRAILER/ETC (I) 54099"
"211","1","3","Citation for infraction","54655","23123.5(A) VC - NO HND HLD DEVICE W/DRIVE (I) 54655"
"212","1","2","Warning (verbal or written)","66424","24600(B) VC - TAILLAMP VIOL 2 LIGHTS (I) 66424"
"213","1","3","Citation for infraction","54191","24250 VC - DRIVE WITHOUT LIGHTS:DARK (I) 54191"
"214","1","2","Warning (verbal or written)","54146","21461(A) VC - DRIVER FAIL OBEY SIGN/ETC (I) 54146"
"215","1","3","Citation for infraction","54655","23123.5(A) VC - NO HND HLD DEVICE W/DRIVE (I) 54655"
"216","1","2","Warning (verbal or written)","54655","23123.5(A) VC - NO HND HLD DEVICE W/DRIVE (I) 54655"
"217","1","2","Warning (verbal or written)","54098","21453(A) VC - FAIL STOP LINE/ETC AT RED (I) 54098"
"218","1","6","Custodial Arrest without warrant","50106","166(A)(4) PC - CONTEMPT:DISOBEY CRT ORDR (M) 50106"
"219","1","2","Warning (verbal or written)","54571","26708(A)(1) VC - OPR VEH:WINDOW OBSTRUCTED (I) 54571"
"220","1","10","Psychiatric hold","",""
"221","1","3","Citation for infraction","54655","23123.5(A) VC - NO HND HLD DEVICE W/DRIVE (I) 54655"
"222","1","2","Warning (verbal or written)","54168","5204(A) VC - EXPIRED TABS/FAIL DISPLAY (I) 54168"
"223","1","3","Citation for infraction","54655","23123.5(A) VC - NO HND HLD DEVICE W/DRIVE (I) 54655"
"223","1","3","Citation for infraction","42127","12500(A) VC - DRIVE W/O LICENSE (I) 42127"
"224","1","3","Citation for infraction","54655","23123.5(A) VC - NO HND HLD DEVICE W/DRIVE (I) 54655"
"225","1","5","Custodial Arrest pursuant to outstanding warrant","",""
"226","1","6","Custodial Arrest without warrant","13174","243(E)(1) PC - BAT:SPOUSE/EX SP/DATE/ETC (M) 13174"
"227","1","2","Warning (verbal or written)","66880","38170(B) VC - LICENSE PLATE NOT VISIBLE (I) 66880"
"228","1","7","Field interview card completed","",""
"229","1","7","Field interview card completed","",""
"229","2","7","Field interview card completed","",""
"230","1","3","Citation for infraction","54098","21453(A) VC - FAIL STOP LINE/ETC AT RED (I) 54098"
"231","1","3","Citation for infraction","54655","23123.5(A) VC - NO HND HLD DEVICE W/DRIVE (I) 54655"
"232","1","2","Warning (verbal or written)","54167","22450(A) VC - FAIL STOP VEH:XWALK/ETC (I) 54167"
"233","1","2","Warning (verbal or written)","54105","21802(A) VC - ENT THROUGH HWY:W/O YIELD (I) 54105"
"234","1","6","Custodial Arrest without warrant","35143","11550 HS - UNDER INFLUENCE CNTL SUB (M) 35143"
"235","1","3","Citation for infraction","54655","23123.5(A) VC - NO HND HLD DEVICE W/DRIVE (I) 54655"
"236","1","2","Warning (verbal or written)","54098","21453(A) VC - FAIL STOP LINE/ETC AT RED (I) 54098"
"237","1","5","Custodial Arrest pursuant to outstanding warrant","",""
"238","1","3","Citation for infraction","54655","23123.5(A) VC - NO HND HLD DEVICE W/DRIVE (I) 54655"
"239","1","6","Custodial Arrest without warrant","23127","22435.2(A) BP - REM SHOPPING/LAUNDRY CART (M) 23127"
"240","1","3","Citation for infraction","54099","4000(A) VC - NO REG:VEH/TRAILER/ETC (I) 54099"
"241","1","2","Warning (verbal or written)","66880","38170(B) VC - LICENSE PLATE NOT VISIBLE (I) 66880"
"242","1","7","Field interview card completed","",""
"243","1","2","Warning (verbal or written)","54122","21457(A) VC - FAIL STOP:FLASH RED LIGHT (I) 54122"
