"stop_id","pid","race"
"206","1","Hispanic/Latino(a)"
"206","2","Hispanic/Latino(a)"
"207","1","White"
"208","1","Black/African American"
"209","1","Hispanic/Latino(a)"
"210","1","Black/African American"
"211","1","White"
"212","1","White"
"213","1","White"
"214","1","Asian"
"215","1","Hispanic/Latino(a)"
"216","1","White"
"217","1","Black/African American"
"218","1","White"
"219","1","Hispanic/Latino(a)"
"220","1","Black/African American"
"221","1","White"
"222","1","Hispanic/Latino(a)"
"223","1","White"
"224","1","White"
"225","1","Black/African American"
"226","1","Black/African American"
"227","1","Black/African American"
"228","1","Middle Eastern or South Asian"
"229","1","White"
"229","2","Hispanic/Latino(a)"
"230","1","Black/African American"
"231","1","White"
"232","1","Middle Eastern or South Asian"
"233","1","Asian"
"234","1","White"
"235","1","White"
"236","1","White"
"237","1","White"
"238","1","White"
"239","1","Asian"
"240","1","White"
"241","1","Middle Eastern or South Asian"
"242","1","Middle Eastern or South Asian"
"243","1","Hispanic/Latino(a)"
"244","1","White"
"245","1","White"
"246","1","White"
"247","1","White"
"248","1","Hispanic/Latino(a)"
"249","1","White"
"250","1","White"
"251","1","Hispanic/Latino(a)"
"252","1","Hispanic/Latino(a)"
"253","1","White"
"254","1","White"
"255","1","White"
"256","1","White"
"257","1","White"
"258","1","Hispanic/Latino(a)"
"259","1","White"
"260","1","White"
"261","1","White"
"262","1","White"
"263","1","Hispanic/Latino(a)"
"264","1","White"
"265","1","Hispanic/Latino(a)"
"266","1","Pacific Islander"
"267","1","White"
"268","1","Hispanic/Latino(a)"
"269","1","White"
"270","1","Hispanic/Latino(a)"
"271","1","White"
"272","1","White"
"273","1","Hispanic/Latino(a)"
"273","2","Hispanic/Latino(a)"
"273","3","White"
"273","4","Black/African American"
"274","1","White"
"275","1","White"
"276","1","White"
"277","1","Asian"
"278","1","White"
"279","1","White"
"280","1","White"
"281","1","White"
"282","1","Hispanic/Latino(a)"
"283","1","White"
"284","1","Pacific Islander"
"284","2","Pacific Islander"
"285","1","Pacific Islander"
"286","1","Hispanic/Latino(a)"
"287","1","White"
"288","1","Hispanic/Latino(a)"
"288","1","Asian"
"289","1","Hispanic/Latino(a)"
"290","1","Hispanic/Latino(a)"
"291","1","Black/African American"
"292","1","White"
"293","1","Hispanic/Latino(a)"
"294","1","Asian"
"295","1","Middle Eastern or South Asian"
"296","1","Hispanic/Latino(a)"
"297","1","White"
"298","1","Black/African American"
"299","1","White"
"300","1","White"
"301","1","Black/African American"
"302","1","White"
"303","1","White"
"304","1","White"
"304","1","Hispanic/Latino(a)"
"305","1","Hispanic/Latino(a)"
"306","1","White"
"307","1","Hispanic/Latino(a)"
"308","1","Black/African American"
"309","1","White"
"310","1","Middle Eastern or South Asian"
"311","1","Hispanic/Latino(a)"
"312","1","White"
"312","1","Black/African American"
"312","2","White"
"312","3","Black/African American"
"313","1","White"
"314","1","White"
"315","1","White"
"316","1","White"
"317","1","Hispanic/Latino(a)"
"318","1","White"
"319","1","Hispanic/Latino(a)"
"320","1","Black/African American"
"320","2","Black/African American"
"321","1","White"
"322","1","White"
"323","1","White"
"324","1","Hispanic/Latino(a)"
"325","1","White"
"326","1","White"
"327","1","Black/African American"
"328","1","Hispanic/Latino(a)"
"329","1","Hispanic/Latino(a)"
"330","1","White"
"331","1","Hispanic/Latino(a)"
"332","1","White"
"333","1","Hispanic/Latino(a)"
"334","1","Hispanic/Latino(a)"
"335","1","Asian"
"336","1","White"
"337","1","White"
"338","1","Hispanic/Latino(a)"
"339","1","Middle Eastern or South Asian"
"340","1","White"
"341","1","Black/African American"
"342","1","Black/African American"
"343","1","Hispanic/Latino(a)"
"344","1","Hispanic/Latino(a)"
"345","1","Asian"
"346","1","Black/African American"
"347","1","White"
"348","1","Hispanic/Latino(a)"
"349","1","Hispanic/Latino(a)"
"350","1","Hispanic/Latino(a)"
"351","1","Black/African American"
"352","1","White"
"353","1","Hispanic/Latino(a)"
"353","2","Hispanic/Latino(a)"
"353","3","Hispanic/Latino(a)"
"353","4","Hispanic/Latino(a)"
"354","1","Black/African American"
"355","1","White"
"356","1","Asian"
"357","1","White"
"358","1","Hispanic/Latino(a)"
"359","1","Black/African American"
"360","1","White"
"361","1","Hispanic/Latino(a)"
"361","2","Hispanic/Latino(a)"
"362","1","Hispanic/Latino(a)"
"363","1","Hispanic/Latino(a)"
"364","1","Black/African American"
"365","1","Hispanic/Latino(a)"
"365","2","Hispanic/Latino(a)"
"366","1","Hispanic/Latino(a)"
"367","1","Hispanic/Latino(a)"
"368","1","Hispanic/Latino(a)"
"368","2","Hispanic/Latino(a)"
"369","1","White"
"370","1","Black/African American"
"371","1","White"
"371","2","White"
"372","1","Hispanic/Latino(a)"
"373","1","Hispanic/Latino(a)"
"373","2","Middle Eastern or South Asian"
"373","3","Black/African American"
"374","1","Hispanic/Latino(a)"
"375","1","Hispanic/Latino(a)"
"376","1","Hispanic/Latino(a)"
"377","1","Hispanic/Latino(a)"
"378","1","White"
"379","1","Black/African American"
"380","1","Hispanic/Latino(a)"
"381","1","Hispanic/Latino(a)"
"382","1","White"
"382","2","White"
"383","1","Asian"
"384","1","Asian"
"385","1","Asian"
"386","1","White"
"387","1","Black/African American"
"388","1","Hispanic/Latino(a)"
"389","1","Black/African American"
"390","1","Hispanic/Latino(a)"
"391","1","White"
"392","1","White"
"393","1","Hispanic/Latino(a)"
"394","1","Hispanic/Latino(a)"
"395","1","White"
"396","1","White"
"397","1","White"
"398","1","Hispanic/Latino(a)"
"399","1","Hispanic/Latino(a)"
"400","1","White"
"401","1","Hispanic/Latino(a)"
"402","1","White"
"403","1","Hispanic/Latino(a)"
"404","1","Hispanic/Latino(a)"
"405","1","White"
"406","1","White"
"407","1","Hispanic/Latino(a)"
"408","1","White"
"409","1","White"
"410","1","White"
"411","1","White"
"412","1","Hispanic/Latino(a)"
"413","1","Hispanic/Latino(a)"
"414","1","Hispanic/Latino(a)"
"415","1","Black/African American"
"415","1","Hispanic/Latino(a)"
"415","2","Black/African American"
"416","1","White"
"417","1","Hispanic/Latino(a)"
"418","1","White"
"419","1","White"
"420","1","Hispanic/Latino(a)"
"421","1","Asian"
"422","1","Hispanic/Latino(a)"
"423","1","Hispanic/Latino(a)"
"423","2","Hispanic/Latino(a)"
"424","1","Hispanic/Latino(a)"
"424","2","Hispanic/Latino(a)"
"425","1","White"
"426","1","Black/African American"
"427","1","White"
"428","1","Hispanic/Latino(a)"
"429","1","White"
"430","1","Middle Eastern or South Asian"
"430","1","Asian"
"430","1","Black/African American"
"430","1","Hispanic/Latino(a)"
"430","1","White"
"430","1","Native American"
"430","1","Pacific Islander"
"431","1","Hispanic/Latino(a)"
"432","1","White"
"433","1","White"
"434","1","White"
"435","1","Hispanic/Latino(a)"
"435","1","White"
"435","1","Asian"
"436","1","Hispanic/Latino(a)"
"437","1","Hispanic/Latino(a)"
"438","1","White"
"439","1","Asian"
"440","1","White"
"441","1","Hispanic/Latino(a)"
"442","1","Middle Eastern or South Asian"
"442","1","Asian"
"442","1","White"
"442","1","Black/African American"
"442","1","Native American"
"442","1","Pacific Islander"
"442","1","Hispanic/Latino(a)"
"443","1","Black/African American"
"444","1","Hispanic/Latino(a)"
"445","1","Black/African American"
"446","1","White"
"447","1","White"
"448","1","Hispanic/Latino(a)"
"449","1","White"
"449","1","Pacific Islander"
"449","1","Asian"
"449","1","Black/African American"
"449","1","Middle Eastern or South Asian"
"449","1","Hispanic/Latino(a)"
"449","1","Native American"
"450","1","White"
"451","1","Hispanic/Latino(a)"
"452","1","White"
"453","1","Hispanic/Latino(a)"
"454","1","Pacific Islander"
"454","1","Black/African American"
"454","1","Asian"
"454","1","Hispanic/Latino(a)"
"454","1","Middle Eastern or South Asian"
"454","1","White"
"454","1","Native American"
"455","1","Hispanic/Latino(a)"
"456","1","Hispanic/Latino(a)"
"457","1","White"
"458","1","Hispanic/Latino(a)"
"459","1","Black/African American"
"460","1","Hispanic/Latino(a)"
"461","1","Hispanic/Latino(a)"
"462","1","Asian"
"463","1","Hispanic/Latino(a)"
"464","1","Hispanic/Latino(a)"
"465","1","Hispanic/Latino(a)"
"466","1","White"
"467","1","Asian"
"468","1","Black/African American"
"468","2","Hispanic/Latino(a)"
"469","1","Hispanic/Latino(a)"
"470","1","Hispanic/Latino(a)"
"471","1","Hispanic/Latino(a)"
"472","1","White"
"473","1","Hispanic/Latino(a)"
"474","1","Hispanic/Latino(a)"
"475","1","White"
"476","1","White"
"477","1","Hispanic/Latino(a)"
"478","1","Hispanic/Latino(a)"
"479","1","Hispanic/Latino(a)"
"480","1","Hispanic/Latino(a)"
"481","1","Hispanic/Latino(a)"
"482","1","Hispanic/Latino(a)"
"483","1","Hispanic/Latino(a)"
"484","1","Hispanic/Latino(a)"
"485","1","Black/African American"
"486","1","Hispanic/Latino(a)"
"487","1","White"
"488","1","White"
"489","1","White"
"490","1","Hispanic/Latino(a)"
"491","1","White"
"492","1","White"
"493","1","White"
"494","1","Hispanic/Latino(a)"
"495","1","Black/African American"
"496","1","White"
"497","1","Black/African American"
"498","1","Hispanic/Latino(a)"
"499","1","Middle Eastern or South Asian"
"499","1","Black/African American"
"499","1","Hispanic/Latino(a)"
"499","1","Native American"
"499","1","Asian"
"499","1","Pacific Islander"
"499","1","White"
"500","1","Hispanic/Latino(a)"
"500","2","Hispanic/Latino(a)"
"501","1","White"
"502","1","White"
"503","1","Black/African American"
"504","1","Black/African American"
"505","1","Hispanic/Latino(a)"
"506","1","Hispanic/Latino(a)"
"507","1","White"
"508","1","White"
"509","1","Black/African American"
"510","1","Black/African American"
"511","1","Asian"
"512","1","Hispanic/Latino(a)"
"513","1","White"
"514","1","Middle Eastern or South Asian"
"515","1","Hispanic/Latino(a)"
"516","1","Hispanic/Latino(a)"
"517","1","White"
"518","1","Black/African American"
"518","1","Native American"
"519","1","Hispanic/Latino(a)"
"520","1","Black/African American"
"521","1","Hispanic/Latino(a)"
"522","1","Pacific Islander"
"523","1","Middle Eastern or South Asian"
"524","1","White"
"525","1","White"
"526","1","Asian"
"527","1","Hispanic/Latino(a)"
"528","1","White"
"529","1","White"
"530","1","White"
"531","1","Middle Eastern or South Asian"
"532","1","Middle Eastern or South Asian"
"533","1","Hispanic/Latino(a)"
"534","1","Hispanic/Latino(a)"
"535","1","Asian"
"536","1","Hispanic/Latino(a)"
"537","1","Hispanic/Latino(a)"
"538","1","Asian"
"539","1","Hispanic/Latino(a)"
"540","1","White"
"541","1","Hispanic/Latino(a)"
"542","1","Hispanic/Latino(a)"
"543","1","White"
"544","1","Hispanic/Latino(a)"
"545","1","White"
"546","1","White"
"547","1","White"
"548","1","White"
"549","1","Hispanic/Latino(a)"
"550","1","White"
"551","1","Hispanic/Latino(a)"
"552","1","Asian"
"553","1","White"
"554","1","Black/African American"
"555","1","Asian"
"556","1","White"
"556","2","White"
"557","1","White"
"558","1","White"
"559","1","Hispanic/Latino(a)"
"560","1","Hispanic/Latino(a)"
"560","2","Black/African American"
"561","1","White"
"562","1","Hispanic/Latino(a)"
"563","1","Hispanic/Latino(a)"
"564","1","Middle Eastern or South Asian"
"565","1","Hispanic/Latino(a)"
"566","1","Hispanic/Latino(a)"
"567","1","White"
"568","1","Hispanic/Latino(a)"
"569","1","Hispanic/Latino(a)"
"570","1","White"
"571","1","Hispanic/Latino(a)"
"572","1","Hispanic/Latino(a)"
"573","1","White"
"574","1","Hispanic/Latino(a)"
"575","1","White"
"576","1","White"
"577","1","Middle Eastern or South Asian"
"578","1","White"
"579","1","White"
"580","1","White"
"581","1","White"
"582","1","White"
"583","1","White"
"584","1","Hispanic/Latino(a)"
"584","2","Hispanic/Latino(a)"
"584","3","Hispanic/Latino(a)"
"585","1","Pacific Islander"
"586","1","Black/African American"
"587","1","White"
"588","1","Black/African American"
"588","2","White"
"589","1","White"
"590","1","Asian"
"591","1","White"
"592","1","Hispanic/Latino(a)"
"593","1","Black/African American"
"594","1","Hispanic/Latino(a)"
"595","1","Middle Eastern or South Asian"
"596","1","Hispanic/Latino(a)"
"597","1","Hispanic/Latino(a)"
"598","1","White"
"599","1","Black/African American"
"599","1","White"
"600","1","Hispanic/Latino(a)"
"601","1","White"
"602","1","Hispanic/Latino(a)"
"603","1","Hispanic/Latino(a)"
"604","1","White"
"605","1","Hispanic/Latino(a)"
"606","1","White"
"607","1","Hispanic/Latino(a)"
"608","1","White"
"609","1","Middle Eastern or South Asian"
"609","1","White"
"610","1","Hispanic/Latino(a)"
"611","1","Middle Eastern or South Asian"
"612","1","Black/African American"
"613","1","Hispanic/Latino(a)"
"614","1","White"
"615","1","Hispanic/Latino(a)"
"616","1","Middle Eastern or South Asian"
"617","1","White"
"618","1","Hispanic/Latino(a)"
"619","1","White"
"620","1","White"
"621","1","White"
"622","1","White"
"623","1","White"
"624","1","White"
"625","1","Black/African American"
"626","1","White"
"627","1","Hispanic/Latino(a)"
"628","1","Black/African American"
"629","1","Hispanic/Latino(a)"
"630","1","Middle Eastern or South Asian"
"631","1","Hispanic/Latino(a)"
"632","1","Hispanic/Latino(a)"
"633","1","Middle Eastern or South Asian"
"634","1","Hispanic/Latino(a)"
"635","1","Hispanic/Latino(a)"
"636","1","White"
"637","1","Asian"
"638","1","Asian"
"639","1","Hispanic/Latino(a)"
"640","1","White"
"641","1","Hispanic/Latino(a)"
"642","1","White"
"643","1","Hispanic/Latino(a)"
"644","1","Asian"
"645","1","White"
"646","1","Asian"
"647","1","Black/African American"
"648","1","White"
"649","1","Asian"
"650","1","White"
"651","1","Asian"
"652","1","Hispanic/Latino(a)"
"653","1","Asian"
"654","1","Asian"
"655","1","White"
"656","1","Hispanic/Latino(a)"
"657","1","White"
"658","1","Hispanic/Latino(a)"
"659","1","White"
"660","1","White"
"661","1","Asian"
"662","1","White"
"663","1","White"
"664","1","Hispanic/Latino(a)"
"665","1","Hispanic/Latino(a)"
"666","1","White"
"667","1","Hispanic/Latino(a)"
"668","1","White"
"668","2","Hispanic/Latino(a)"
"669","1","White"
"670","1","Hispanic/Latino(a)"
"671","1","Hispanic/Latino(a)"
"672","1","Hispanic/Latino(a)"
"673","1","White"
"674","1","Hispanic/Latino(a)"
"675","1","White"
"676","1","White"
"677","1","Hispanic/Latino(a)"
"678","1","Hispanic/Latino(a)"
"679","1","Black/African American"
"680","1","Hispanic/Latino(a)"
"681","1","Asian"
"682","1","White"
"683","1","Black/African American"
"684","1","Hispanic/Latino(a)"
"684","1","White"
"685","1","White"
"686","1","Black/African American"
"687","1","Hispanic/Latino(a)"
"688","1","White"
"689","1","Pacific Islander"
"690","1","White"
"691","1","Hispanic/Latino(a)"
"692","1","Hispanic/Latino(a)"
"693","1","Hispanic/Latino(a)"
"694","1","Hispanic/Latino(a)"
"695","1","Asian"
"696","1","Asian"
"697","1","Hispanic/Latino(a)"
"698","1","Hispanic/Latino(a)"
"698","2","Hispanic/Latino(a)"
"699","1","Black/African American"
"700","1","White"
"700","1","Hispanic/Latino(a)"
"701","1","White"
"702","1","Asian"
"703","1","White"
"704","1","Black/African American"
"705","1","White"
"706","1","Hispanic/Latino(a)"
"707","1","White"
"707","1","Pacific Islander"
"707","1","Native American"
"707","1","Asian"
"707","1","Middle Eastern or South Asian"
"707","1","Black/African American"
"707","1","Hispanic/Latino(a)"
"708","1","Hispanic/Latino(a)"
"709","1","Black/African American"
"710","1","Black/African American"
"711","1","Hispanic/Latino(a)"
"712","1","Native American"
"712","1","Hispanic/Latino(a)"
"712","1","Pacific Islander"
"712","1","White"
"712","1","Black/African American"
"712","1","Asian"
"712","1","Middle Eastern or South Asian"
"713","1","Hispanic/Latino(a)"
"714","1","White"
"714","2","White"
"715","1","White"
"716","1","Black/African American"
"717","1","White"
"718","1","Hispanic/Latino(a)"
"719","1","White"
"720","1","Black/African American"
"721","1","Black/African American"
"722","1","White"
"723","1","White"
"724","1","White"
"725","1","White"
"726","1","Middle Eastern or South Asian"
"727","1","Hispanic/Latino(a)"
"728","1","White"
"729","1","Black/African American"
"730","1","Native American"
"730","2","Hispanic/Latino(a)"
"730","3","Hispanic/Latino(a)"
"731","1","Hispanic/Latino(a)"
"732","1","Hispanic/Latino(a)"
"733","1","White"
"734","1","Hispanic/Latino(a)"
"735","1","White"
"736","1","Asian"
"737","1","White"
"738","1","Middle Eastern or South Asian"
"739","1","White"
"740","1","Hispanic/Latino(a)"
"741","1","Hispanic/Latino(a)"
"742","1","White"
"743","1","Hispanic/Latino(a)"
"743","1","White"
"744","1","Hispanic/Latino(a)"
"744","2","Hispanic/Latino(a)"
"745","1","Hispanic/Latino(a)"
"746","1","Hispanic/Latino(a)"
"747","1","White"
"748","1","Hispanic/Latino(a)"
"749","1","Asian"
"750","1","White"
"751","1","White"
"752","1","Asian"
"753","1","Black/African American"
"754","1","White"
"755","1","Hispanic/Latino(a)"
"756","1","Hispanic/Latino(a)"
"757","1","Hispanic/Latino(a)"
"758","1","Black/African American"
"759","1","Hispanic/Latino(a)"
"760","1","Black/African American"
"761","1","White"
"762","1","Hispanic/Latino(a)"
"763","1","White"
"764","1","Middle Eastern or South Asian"
"765","1","White"
"766","1","Hispanic/Latino(a)"
"767","1","Black/African American"
"768","1","Black/African American"
"769","1","White"
"769","1","Hispanic/Latino(a)"
"770","1","Pacific Islander"
"771","1","White"
"772","1","White"
"773","1","White"
"774","1","White"
"775","1","Hispanic/Latino(a)"
"776","1","White"
"777","1","Hispanic/Latino(a)"
"778","1","Black/African American"
"779","1","Hispanic/Latino(a)"
"780","1","Hispanic/Latino(a)"
"781","1","Pacific Islander"
"781","1","Asian"
"782","1","White"
"783","1","Pacific Islander"
"784","1","Hispanic/Latino(a)"
"785","1","Black/African American"
"786","1","White"
"787","1","White"
"788","1","Pacific Islander"
"789","1","White"
"790","1","White"
"791","1","Black/African American"
"792","1","White"
"793","1","White"
"794","1","Asian"
"795","1","White"
"796","1","White"
"797","1","Hispanic/Latino(a)"
"798","1","Asian"
"799","1","White"
"800","1","White"
"801","1","Hispanic/Latino(a)"
"802","1","White"
"803","1","White"
"804","1","White"
"805","1","Hispanic/Latino(a)"
"806","1","Asian"
"807","1","Black/African American"
"807","2","Black/African American"
"807","3","Black/African American"
"808","1","White"
"809","1","Hispanic/Latino(a)"
"810","1","Hispanic/Latino(a)"
"811","1","White"
"812","1","Black/African American"
"813","1","Asian"
"814","1","White"
"815","1","Black/African American"
"816","1","White"
"817","1","White"
"818","1","Black/African American"
"819","1","White"
"820","1","White"
"821","1","White"
"822","1","Hispanic/Latino(a)"
"823","1","White"
"824","1","Hispanic/Latino(a)"
"825","1","White"
"826","1","Black/African American"
"827","1","Hispanic/Latino(a)"
"828","1","Black/African American"
"829","1","Hispanic/Latino(a)"
"830","1","Hispanic/Latino(a)"
"831","1","White"
"832","1","Asian"
"833","1","Hispanic/Latino(a)"
"833","1","White"
"834","1","White"
"835","1","Black/African American"
"836","1","White"
"837","1","White"
"838","1","Middle Eastern or South Asian"
"838","1","Hispanic/Latino(a)"
"839","1","White"
"840","1","White"
"841","1","White"
"842","1","Asian"
"843","1","Hispanic/Latino(a)"
"844","1","Hispanic/Latino(a)"
"845","1","White"
"846","1","Hispanic/Latino(a)"
"847","1","Asian"
"847","1","Hispanic/Latino(a)"
"848","1","Hispanic/Latino(a)"
"849","1","White"
"850","1","Hispanic/Latino(a)"
"851","1","Black/African American"
"852","1","Hispanic/Latino(a)"
"853","1","Hispanic/Latino(a)"
"854","1","Black/African American"
"855","1","Hispanic/Latino(a)"
"856","1","White"
"857","1","White"
"858","1","Hispanic/Latino(a)"
"859","1","Hispanic/Latino(a)"
"860","1","Hispanic/Latino(a)"
"861","1","Black/African American"
"862","1","Hispanic/Latino(a)"
"863","1","Middle Eastern or South Asian"
"863","2","Middle Eastern or South Asian"
"864","1","Hispanic/Latino(a)"
"865","1","White"
"866","1","Hispanic/Latino(a)"
"867","1","White"
"868","1","Middle Eastern or South Asian"
"869","1","White"
"870","1","White"
"871","1","Black/African American"
"872","1","Hispanic/Latino(a)"
"872","2","Hispanic/Latino(a)"
"872","3","Hispanic/Latino(a)"
"873","1","White"
"874","1","Black/African American"
"874","2","White"
"875","1","Hispanic/Latino(a)"
"876","1","Hispanic/Latino(a)"
"877","1","Hispanic/Latino(a)"
"878","1","White"
"879","1","Black/African American"
"880","1","Black/African American"
"881","1","Middle Eastern or South Asian"
